,Treatment,Tissue,Custom
Root_salt_1,Salt,Root,Unknown
Root_salt_2,Salt,Root,Unknown
Root_salt_3,Salt,Root,Unknown
Root_control_1,Control,Root,Unknown
Root_control_2,Control,Root,Unknown
Root_control_3,Control,Root,Unknown
Shoot_salt_1,Salt,Shoot,Unknown
Shoot_salt_2,Salt,Shoot,Unknown
Shoot_salt_3,Salt,Shoot,Unknown
Shoot_control_1,Control,Shoot,Unknown
Shoot_control_2,Control,Shoot,Unknown
Shoot_control_3,Control,Shoot,Unknown
